rank,move,country,age,points,tournaments,fetch_name,followers,username,full_name,profile_pic_url,is_verified,is_private,id,name
1019,△3,JPN,19,8,3,Sakura Hondo,403,sakurahondo,Sakura Hondo,https://scontent-lga3-1.cdninstagram.com/vp/c406b62515b0709caaac7f141a6c7fd8/5B62B9AE/t51.2885-19/s150x150/28750765_159865478156896_640694161468555264_n.jpg,false,true,1518475398,Sakura Hondo
1019,△3,USA,18,8,3,Elysia Bolton,711,elysia_bolton,Elysia Bolton,https://scontent-lga3-1.cdninstagram.com/vp/a1f01c211886c955ffc754c13435824a/5B5E5CB0/t51.2885-19/s150x150/21296420_209773566224425_6514657706547085312_a.jpg,false,true,522530297,Elysia Bolton
1019,△3,KOR,30,8,3,Min-Hwa Yu,70,min._.hwa,민화 윤,https://scontent-lga3-1.cdninstagram.com/vp/e69139d2ac61f8ff47dd63b52770186e/5B64725C/t51.2885-19/s150x150/29403184_1483047328471013_2622583537190043648_n.jpg,false,true,1476102883,Min-Hwa Yu
1019,△3,POL,19,8,3,Daria Kuczer,1443,dariakuczer,Daria Kuczer,https://scontent-lga3-1.cdninstagram.com/vp/685f51be1d547165a1787dae667cbb5c/5B6EC6BB/t51.2885-19/s150x150/28753405_155252935152542_8521590508290572288_n.jpg,false,false,317038962,Daria Kuczer
1026,△4,SUI,17,8,4,Fiona Ganz,218,fionaganz,Fiona Ganz,https://scontent-lga3-1.cdninstagram.com/vp/c973c14f253c9082cb3f2968e63357bf/5B6BEE0B/t51.2885-19/11116792_862882407113373_355774027_a.jpg,false,false,1760883544,Fiona Ganz
1028,△4,ECU,24,8,4,Charlotte Roemer,412,lotti_roemer,Charlotte Roemer,https://scontent-lga3-1.cdninstagram.com/vp/47caafa7a2bc31353419ea768dfdc14a/5B5FA686/t51.2885-19/s150x150/29094340_2054749911465824_3687361167442837504_n.jpg,false,false,3229990330,Charlotte Roemer
1028,▽50,RUS,19,8,4,Karine Sarkisova,2637,_scratte_,🄺🄰🅁🄸🄽🄴 🅂🄰🅁🄺🄸🅂🄾🅅🄰,https://scontent-lga3-1.cdninstagram.com/vp/16d4f4d74d2b28c1c2bf71ba6473528f/5B98B24D/t51.2885-19/s150x150/13651956_1231893256845190_111964223_a.jpg,false,false,359072828,Karine Sarkisova
1028,△4,LAT,17,8,4,Alise Cernecka,222,alisecernecka,Alise Čerņecka,https://scontent-lga3-1.cdninstagram.com/vp/515ac374c336ce9d3f9bff456c82fd12/5B58F8CA/t51.2885-19/s150x150/28763405_189303788460656_7034543620619239424_n.jpg,false,true,367743220,Alise Cernecka
1028,△4,ITA,17,8,4,Nuria Brancaccio,660,nuria.brancaccio,Nuria Brancaccio,https://scontent-lga3-1.cdninstagram.com/vp/6f539d8eb725cc6065166f5faaaf2e1c/5B5CBA43/t51.2885-19/s150x150/21433335_114859572537762_1548305538062745600_a.jpg,false,true,1339162505,Nuria Brancaccio
1032,△3,FRA,27,8,5,Constance Sibille,7442,constancesibille,Constance Sibille,https://scontent-lga3-1.cdninstagram.com/vp/36d07113ba64bc738e3516ca95f41521/5B6131A5/t51.2885-19/s150x150/20687227_155172418370298_2666558685131571200_a.jpg,false,false,240002909,Constance Sibille
1035,△3,GBR,23,8,5,Tiffany William,3675,tiffanywilliams_03,Tiffany Nicole Williams,https://scontent-lga3-1.cdninstagram.com/vp/e636bafe01b7a62c7b9653d8b6e35515/5B777F6F/t51.2885-19/s150x150/28152883_2007171122936753_7689837260690161664_n.jpg,false,false,1919316969,Tiffany William
1037,△3,USA,18,8,6,Alana Smith,117310,alanasmithskate,Alana Smith,https://scontent-lga3-1.cdninstagram.com/vp/2c5b859096665866a59be1a77ca67d7c/5B682403/t51.2885-19/s150x150/21819647_184268118784986_16148334003617792_n.jpg,true,false,14887470,Alana Smith
1038,△3,BRA,25,8,6,Rebeca Pereira,1512,rebeca._.pereira,Rebeca Pereira,https://scontent-lga3-1.cdninstagram.com/vp/c49dc04a9df0e58ad7fa9100f0a4fede/5B98DCF5/t51.2885-19/s150x150/29717391_1702424479841454_3742123353381535744_n.jpg,false,false,4253757500,Rebeca Pereira
1038,△3,ITA,22,8,6,Federica Prati,2505,fedeprati85,Federica Prati,https://scontent-lga3-1.cdninstagram.com/vp/7a60124dc976a5af0f33e0c0e10a33a2/5B7AC8AF/t51.2885-19/s150x150/26157074_421490788281478_2063142576344530944_n.jpg,false,true,255197077,Federica Prati
1041,△32,JPN,24,8,7,Rio Kitagawa,607,kitagawa.rio,Rio Kitagawa,https://scontent-waw1-1.cdninstagram.com/vp/f17e1275a70fc32e93cbf434ddc32bcd/5B6CCC7A/t51.2885-19/11906329_960233084022564_1448528159_a.jpg,false,false,280853308,Rio Kitagawa
1041,△4,CHN,22,8,7,Yuqi Sheng,53,stlamp_25,Yuqisheng 廢人鹹魚,https://scontent-lga3-1.cdninstagram.com/vp/60f884e340878f9691ecbe3bf98cca0d/5B9B814D/t51.2885-19/s150x150/22802378_362913827466742_5801545521680089088_n.jpg,false,false,1670045173,Yuqi Sheng
1041,△4,ESP,17,8,7,Lucia Cortez Llorca,1226,luciicortez,Lucía Cortez Llorca,https://scontent-lga3-1.cdninstagram.com/vp/7186eeeb1e76494e67e9b0ceaefc2991/5B9C0E83/t51.2885-19/s150x150/28158050_411053962651786_9059420172955156480_n.jpg,false,true,1115995619,Lucia Cortez Llorca
1041,△4,ITA,24,8,7,Maria Masini,3504,maria_masini,Maria Masini,https://scontent-lga3-1.cdninstagram.com/vp/40a053be43c4ee1ce77aa2d4cfcdf0ae/5B6A29F9/t51.2885-19/s150x150/25015279_1178999392202766_5587362061043630080_n.jpg,false,false,35016036,Maria Masini
1041,▽29,EGY,30,8,7,Ola Abou Zekry,247,oabouzekry,Ola Abou-Zekry,https://scontent-lga3-1.cdninstagram.com/vp/7a98ded5f2899f9d4e8e8715e91089e3/5B9A5A15/t51.2885-19/s150x150/15802887_376123469431538_9216652762383646720_a.jpg,false,false,4415406399,Ola Abou Zekry
1041,△4,USA,21,8,7,Eva Siska,2903,eva_siska_,eva,https://scontent-lga3-1.cdninstagram.com/vp/310bba7680c92634f365794f7875a4dd/5B694A97/t51.2885-19/s150x150/27892551_754437818085567_445066896581066752_n.jpg,false,true,4820416088,Eva Siska
