rank,rank_last_week,events,avg_points,total_points,points_lost,points_gained,country,fetch_name,followers,username,full_name,profile_pic_url,is_verified,is_private,id,name
72,72,43,1.94,83.22,-5.32,53.12,IND,Shubhankar Sharma,117,shubhankar._.sharma,Shubhankar Sharma,https://scontent-lga3-1.cdninstagram.com/vp/66b67da2869dca10ebcf5f1774387f89/5B68BE09/t51.2885-19/s150x150/18812025_297369607354475_7708987948632375296_a.jpg,false,true,1639883256,Shubhankar Sharma
73,73,51,1.89,96.60,-26.15,40.65,USA,Kevin Na,1177983,mckevin,Kevin Nascimento,https://scontent-lga3-1.cdninstagram.com/vp/18e5849f8197714c05ff95cc9094e00d/5B5989A3/t51.2885-19/s150x150/28751894_160782194629121_8021774379392172032_n.jpg,true,false,5540773978,Kevin Na
74,74,52,1.88,97.68,-23.29,25.94,USA,Keegan Bradley,196992,keeganbradley1,Keegan Bradley,https://scontent-lga3-1.cdninstagram.com/vp/ba99c57074b283fb70f601ea4462f813/5B60A18A/t51.2885-19/10832175_821197881273150_1638736680_a.jpg,true,false,243733210,Keegan Bradley
75,75,51,1.82,92.91,-25.78,34.92,NED,Joost Luiten,5238,joostluitenofficial,Joost Luiten 🏌,https://scontent-lga3-1.cdninstagram.com/vp/50972e40006865f15668baa9a660be8d/5B622F0B/t51.2885-19/s150x150/15534677_363789373995385_8829378743874093056_a.jpg,true,false,1564506853,Joost Luiten
76,76,49,1.82,88.95,-35.89,11.48,USA,Bill Haas,90,bill.haas,Haas,https://scontent-lga3-1.cdninstagram.com/vp/1364841880e62e1057c0da1037a47d6d/5B9A480C/t51.2885-19/11260422_889763731065709_1179773945_a.jpg,false,false,1813441584,Bill Haas
77,77,50,1.74,87.05,-26.17,8.55,IRL,Shane Lowry,59500,shanelowrygolf,Shane Lowry,https://scontent-lga3-1.cdninstagram.com/vp/35270dd497240a7784710db110318b38/5B61D46F/t51.2885-19/s150x150/11849095_1083478194996192_370093970_a.jpg,true,false,398979513,Shane Lowry
78,78,49,1.69,82.69,-27.20,20.89,USA,Billy Horschel,94964,billyho_golf,Billy Horschel,https://scontent-lga3-1.cdninstagram.com/vp/8197e75095ef2189df305ffeae140772/5B5F8E4A/t51.2885-19/s150x150/16110413_1837638766524965_4179394970219708416_n.jpg,true,false,175781701,Billy Horschel
79,79,52,1.67,86.87,-7.86,57.90,USA,Ted Potter Jr.,8,tedpotterjr,Yo,https://scontent-frx5-1.cdninstagram.com/vp/f17e1275a70fc32e93cbf434ddc32bcd/5B6CCC7A/t51.2885-19/11906329_960233084022564_1448528159_a.jpg,false,false,555363816,Ted Potter Jr.
80,80,52,1.66,86.25,-25.21,34.64,KOR,Byeong Hun An,8985,benan0917,Byeong Hun An,https://scontent-lga3-1.cdninstagram.com/vp/a4f56caab3d124a34361d76636273271/5B774437/t51.2885-19/s150x150/30589915_205442546725327_6035438578647957504_n.jpg,false,false,9811353,Byeong Hun An
81,81,44,1.66,72.90,-33.85,12.81,USA,Brandt Snedeker,95,therealbrandtsnedeker,Brandt Snedeker,https://scontent-lga3-1.cdninstagram.com/vp/81cc021019de473d2d46eacb9caaa294/5B5462A9/t51.2885-19/10561104_852360828109432_1950098687_a.jpg,false,false,1453066531,Brandt Snedeker
82,82,52,1.61,83.60,-9.67,59.14,ENG,Chris Paisley,122,chrispaisley,Chris Paisley,https://scontent-lga3-1.cdninstagram.com/vp/24ec100d073bc3b5d6c4553bf15413b0/5B5595BC/t51.2885-19/s150x150/13562075_1749832498634376_980064162_a.jpg,false,true,223108216,Chris Paisley
83,83,40,1.60,63.87,-4.30,43.19,USA,Beau Hossler,20988,the_beau_show_,Beau Hossler,https://scontent-lga3-1.cdninstagram.com/vp/b79d00e83fc05ee6578531334743d7a4/5B98D9E5/t51.2885-19/s150x150/12519112_1735720340006350_1621164122_a.jpg,true,false,185816287,Beau Hossler
84,84,52,1.59,82.78,-18.05,33.40,USA,Ollie Schniederjans,29334,ollie_gtgolf,Ollie Schniederjans,https://scontent-lga3-1.cdninstagram.com/vp/c8deced836f7adb8295bb118b348bcdd/5B985EC4/t51.2885-19/s150x150/12556154_208444956166906_67788767_a.jpg,true,false,530501262,Ollie Schniederjans
85,85,52,1.56,81.37,-30.01,13.05,JPN,Hideto Tanihara,7480,hidetotanihara,Hideto Tanihara,https://scontent-lga3-1.cdninstagram.com/vp/872ea5342988c4f3d5ee4c35e97187b0/5B5C2856/t51.2885-19/s150x150/19367908_151888762022471_7488058597612453888_a.jpg,false,false,5515972501,Hideto Tanihara
86,86,52,1.54,80.26,-15.99,31.87,RSA,George Coetzee,8042,gcoetzeegolf,George Coetzee,https://scontent-lga3-1.cdninstagram.com/vp/2315a804cbdf92bfb483de7900329f7a/5B6657C0/t51.2885-19/s150x150/14262613_684661488355346_1838987877_a.jpg,true,false,298177854,George Coetzee
87,87,52,1.53,79.65,-11.76,16.09,USA,Seungsu Han,35549,hanseungsoo321,한승수,https://scontent-lga3-1.cdninstagram.com/vp/e0f840ac07150c2d837e5989b9988562/5B77D25F/t51.2885-19/10881971_482489141908290_1774944241_a.jpg,false,false,1142626481,Seungsu Han
