name,rank,ch,age,country,points,win/lose,lose,tournament,prev_tourn,next_pts,max_pts
Tsung Hua Yang,250,164,27,TPE3,207,4,5,Anning R32,Lost in Nanchang R16,-,-
Václav Šafránek,251,191,23.9,CZE5,205,6,6,Anning R32,Lost in Nanchang R16,-,-
Noah Rubin,252,161,22.1,USA27,205,-5,-,Tallahassee R32,Lost in Orange Park F,-,-
Zhang Ze,253,148,27.8,CHN1,205,-5,-,Anning R32,Lost in Nanchang R32,-,-
Matteo Donati,254,159,23.1,ITA15,204,-4,-,Francavilla R32,-,-,-
Laurynas Grigelis,255,183,26.6,LTU2,203,-4,-,-,Lost in Nanchang R32,-,-
Illya Marchenko,256,49,30.6,UKR3,202,-4,-,-,-,-,-
Alexander Sarkissian,257,157,28,USA28,202,5,6,Leon R32,Lost in Guadalajara R16,-,-
Lukáš Rosol,258,26,32.7,CZE6,199,26,22,Francavilla R32,Qual. Tunis WLost in Tunis QF,-,-
Julien Cagnina,259,239,23.8,BEL4,199,-1,-,-,-,-,-
Prajnesh Gunneswaran,260,213,28.4,IND4,199,6,6,Anning R32,Lost in Nanchang QF,-,-
Jose Hernandez Fernandez,261,179,28.1,DOM2,199,2,3,Leon R32,Lost in Guadalajara R16,-,-
Tomislav Brkić,262,212,28.1,BIH4,198,-2,1,Francavilla R32,Lost in Santa Margherita 6 QFLost in Santa Margherita 7 SF,-,-
João Monteiro,263,237,24.3,POR6,196,-2,-,-,Lost in Porto R32Lost in Cascais QF,-,-
Dmitry Popko,264,178,21.4,KAZ4,196,-5,-1,-,Lost in Santa Margherita 6 R16Lost in Santa Margherita 7 R32,-,-
Ivan Nedelko,265,244,31.9,RUS8,196,-1,-,-,Lost in Antalya 15 R16Lost in Qual. Barcelona R1,-,-
David Guez,266,116,35.3,FRA22,192,2,-,-,Lost in La Grande Motte R32,-,-
Matteo Viola,267,118,30.7,ITA16,192,3,-,Qual. Francavilla R3,-,-,-
Max Purcell,268,246,20,AUS13,191,-13,-10,Tallahassee R32,Lost in Qual. Sarasota R3Qual. Tallahassee W,-,-
Scott Griekspoor,269,NCH   (271),27.2,NED3,190,2,-,-,Lost in Little Rock R32Lost in Qual. Guadalajara R3,-,-
Facundo Argüello,270,104,25.7,ARG15,189,-17,-13,-,Lost in Sarasota R32,-,-
Andrew Whittington,271,160,24.6,AUS14,188,2,-,Anning R32,Lost in Nanchang R32,-,-
Daniel Muñoz de la Nava,272,68,36.2,ESP22,188,2,-,-,Lost in Madrid R16,-,-
Maxime Janvier,273,228,21.5,FRA23,188,12,13,-,Lost in Porto R32Qual. Tunis WLost in Tunis R16,-,-
Carlos Boluda Purkiss,274,270,25.2,ESP23,187,1,-,Majadahonda R32,Lost in Madrid R32,-,-
Javier Martí,275,170,26.2,ESP24,187,-10,-6,Francavilla R32,Lost in Madrid SF,-,-
Martín Cuevas,276,271,26.2,URU2,187,-,-,-,Lost in Qual. Sarasota R3Lost in Qual. Tallahassee R2,-,-
Di Wu,277,140,26.6,CHN2,186,-28,-18,Anning R32,Lost in Nanchang R32,-,-
Yusuke Takahashi,278,238,20.5,JPN7,185,-1,-,-,-,-,-
Sergio Gutiérrez Ferrol,279,173,29.1,ESP25,185,-1,-,-,Lost in Qual. Tunis R1,-,-
Roberto Quiroz,280,220,26.1,ECU1,180,-,-,Qual. Leon R3,Lost in Guadalajara R32,-,-
Grégoire Barrère,281,187,24.1,FRA24,180,-,-,Angers R32,Lost in Porto R16Lost in Cascais QF,-,-
Ante Pavić,282,132,29.1,CRO6,179,6,6,Leon R32,Lost in Guadalajara R16,-,-
Mathias Bourgue,283,140,24.2,FRA25,178,-38,-35,Francavilla R32,Lost in Qual. Tunis R1,-,-
Bernabe Zapata Miralles,284,264,21.2,ESP26,178,-1,-,-,Lost in Guadalajara R32,-,-
Hernan Casanova,285,278,24.2,ARG16,177,-3,-1,Santa Margherita 8 R32,Lost in Santa Margherita 6 R16Santa Margherita 7 WQual. Santa Margherita 8 W,-,-
Christopher Heyman,286,258,24.5,BEL5,175,-17,-17,-,Lost in Guadalajara R32,-,-
Sam Groth,287,53,30.5,AUS15,174,-1,-,-,-,-,-
Arthur De Greef,288,113,26,BEL6,173,-1,-,Francavilla R32,-,-,-
Frederico Ferreira Silva,289,231,23,POR7,173,8,7,-,Lost in Porto SFCascais W,-,-
Geoffrey Blancaneaux,290,266,19.7,FRA26,172,-1,-,-,-,-,-
Austin Krajicek,291,94,27.8,USA29,170,-,-,-,-,-,-
Kaichi Uchida,292,NCH   (296),23.6,JPN8,169,4,2,-,Lost in Little Rock QFQual. Sarasota WLost in Sarasota R32,-,-
Santiago Giraldo,293,28,30.4,COL2,168,-,-,Leon R32,Lost in Guadalajara R32,-,-
Miljan Zekić,294,188,29.7,SRB11,168,-,-,-,-,-,-
Bradley Mousley,295,259,22.3,AUS16,167,-16,-15,Leon R32,Lost in Guadalajara R32,-,-
Carlos Gomez Herrera,296,289,27.9,ESP27,165,-1,-2,-,Lost in Qual. Guadalajara R1,-,-
João Souza,297,69,29.9,BRA5,164,8,3,-,Qual. Guadalajara WLost in Guadalajara R32,-,-
Edan Leshem,298,249,21,ISR2,163,1,-,Leon R32,Lost in Guadalajara R32,-,-
Marek Jaloviec,299,244,24.1,CZE7,163,1,-,-,-,-,-
Teymuraz Gabashvili,300,43,32.9,RUS9,162,1,-,Shymkent 4 R32,Lost in Shymkent 3 SF,-,-
Andrea Basso,301,NCH   (302),24.5,ITA17,162,1,-,-,-,-,-
Lucas Miedler,302,300,21.8,AUT5,162,15,9,Angers R32,Lost in Sharm El Sheikh 13 F,-,-
Dimitar Kuzmanov,303,281,24.7,BUL2,161,1,-,Qual. Francavilla R3,Lost in Qual. Tunis R1,-,-
Franko Škugor,304,145,30.5,CRO7,160,-12,-9,-,-,-,-
Dayne Kelly,305,252,27.7,AUS17,160,2,-,-,-,-,-
Hiroki Moriya,306,143,27.5,JPN9,160,3,1,-,Lost in Matsuyama R16Bukhara W,-,-
Alejandro González,307,70,29.2,COL3,159,1,-,Leon R32,Lost in Qual. Guadalajara R1Lost in Qual. Guadalajara R3Lost in Qual. Leon R2,-,-
Ugo Humbert,308,301,19.8,FRA27,159,-2,-2,Leon R32,Lost in Qual. Guadalajara R3,-,-
Roberto Ortega Olmedo,309,257,26.9,ESP28,159,10,9,Anning R32,Lost in Nanchang QF,-,-
Tim Pütz,310,163,30.4,GER18,158,-,-,-,-,-,-
Thiemo de Bakker,311,40,29.5,NED4,157,-,-,-,-,-,-
Ivan Gakhov,312,275,21.4,RUS10,157,9,8,Shymkent 4 R32,Lost in Shymkent 2 FLost in Shymkent 3 QF,-,-
Markus Eriksson,313,298,28.3,SWE2,154,1,-1,Abuja 2 R32,Lost in Abuja F,-,-
Alexander Ward,314,242,27.9,GBR6,153,1,-,-,-,-,-
Youssef Hossam,315,291,19.8,EGY2,152,-3,-5,Abuja 2 R32,-,-,-
Federico Gaio,316,146,26.1,ITA18,152,4,3,-,Qual. Guadalajara WLost in Guadalajara R32Lost in Qual. Leon R2,-,-
Marcos Giron,317,238,24.7,USA30,151,1,-,-,-,-,-
Frank Dancevic,318,65,33.5,CAN8,149,10,5,-,Qual. Sarasota WLost in Sarasota R32Lost in Qual. Tallahassee R3,-,-
Joris De Loore,319,174,25,BEL7,148,3,-,Qual. Francavilla R3,-,-,-
Pedro Cachín,320,166,23,ARG17,148,30,15,Majadahonda R32,Lost in Porto FLost in Madrid F,-,-
Luca Vanni,321,100,32.8,ITA19,147,3,-,Qual. Francavilla R3,Lost in Santa Margherita 7 R32,-,-
Íñigo Cervantes,322,56,28.3,ESP29,146,3,-,-,Lost in Porto R32Lost in Qual. Tunis R1Lost in Qual. Barcelona R1,-,-
Evgeny Karlovskiy,323,281,23.7,RUS11,146,3,-,-,Lost in Qual. Tunis R1,-,-
Marsel İlhan,324,77,30.8,TUR2,145,-21,-17,-,Lost in Antalya 14 R16Lost in Antalya 15 R32,-,-
Daniel Nguyen,325,189,27.5,USA31,144,4,-,-,-,-,-
Daniel Altmaier,326,210,19.6,GER19,143,-10,-10,-,-,-,-
Steven Diez,327,162,27.1,CAN9,143,3,-,Majadahonda R32,Lost in Madrid QF,-,-
Andrea Pellegrino,328,NCH   (331),21,ITA20,142,3,-,-,-,-,-
Zhe Li,329,210,31.5,CHN3,142,4,1,Anning R32,Lost in Matsuyama R16Lost in Nanchang R32,-,-
Karim Mohamed Maamoun,330,225,27,EGY3,142,2,-,Abuja 2 R32,-,-,-
Nicolaas Scholtz,331,320,27.2,RSA3,141,24,15,-,Lost in Little Rock F,-,-
Hiroyasu Ehara,332,330,26.8,JPN10,141,24,15,-,Lost in Matsuyama F,-,-
JC Aragone,333,330,22.8,USA32,140,1,-,Tallahassee R32,Lost in Sarasota R32,-,-
Yannick Jankovits,334,226,31.2,FRA28,140,12,5,-,Lost in Djerba 8 SFLost in La Grande Motte F,-,-
Marinko Matosevic,335,39,32.7,AUS18,139,3,-,-,-,-,-
Yibing Wu,336,301,18.5,CHN4,138,1,-1,Anning R32,Lost in Nanchang R32,-,-
Roberto Cid Subervi,337,329,24.6,DOM3,138,2,-,Qual. Leon R3,Lost in Qual. Guadalajara R1,-,-
Kimmer Coppejans,338,97,24.2,BEL8,138,-25,-18,Qual. Francavilla R3,-,-,-
Yannick Mertens,339,179,30.8,BEL9,137,-3,-3,-,Lost in Little Rock R32,-,-
Maverick Banes,340,270,26,AUS19,136,3,-,-,-,-,-
