name,position,rank,team,salary
Jarrett Allen,C,316,Brooklyn Nets,1713720
Quincy Acy,SF,317,Brooklyn Nets,1709538
Tyler Zeller,C,318,Brooklyn Nets,1709538
Malik Beasley,SG,319,Denver Nuggets,1700640
Delon Wright,PG,320,Toronto Raptors,1645200
OG Anunoby,SF,321,Toronto Raptors,1645200
Ante Zizic,PF,322,Cleveland Cavaliers,1645200
Caris LeVert,SG,323,Brooklyn Nets,1632480
Justin Anderson,SG,324,Philadelphia 76ers,1579440
Tyler Lydon,PF,325,Denver Nuggets,1579440
Ryan Kelly,PF,326,Atlanta Hawks,1577230
Shabazz Muhammad,SG,327,Minnesota Timberwolves,1577230
Archie Goodwin,SG,328,Portland Trail Blazers,1577230
Jeff Withey,C,329,Dallas Mavericks,1577230
DeAndre' Bembry,SF,330,Atlanta Hawks,1567200
Caron Butler,SF,331,Sacramento Kings,1551659
Mitch McGary,PF,332,Oklahoma City Thunder,1526040
Joffrey Lauvergne,C,333,San Antonio Spurs,1524305
Julyan Stone,PG,334,Charlotte Hornets,1524305
Jerami Grant,SF,335,Oklahoma City Thunder,1524305
Joe Harris,SF,336,Brooklyn Nets,1524305
Glenn Robinson III,SG,337,Indiana Pacers,1524305
Bobby Portis,PF,338,Chicago Bulls,1516320
Malachi Richardson,SG,339,Toronto Raptors,1504560
Marcelo Huertas,PG,340,Houston Rockets,1500000
Chris McCullough,PF,341,Washington Wizards,1471382
Donald Sloan,PG,342,Washington Wizards,1471382
Jarell Martin,PF,343,Memphis Grizzlies,1471382
Mario Chalmers,PG,344,Memphis Grizzlies,1471382
Raul Neto,PG,345,Utah Jazz,1471382
Anthony Morrow,SG,346,Portland Trail Blazers,1471382
Pat Connaughton,SG,347,Portland Trail Blazers,1471382
Nikola Jokic,C,348,Denver Nuggets,1471382
Jeremy Evans,F,349,Atlanta Hawks,1471382
Caleb Swanigan,PF,350,Portland Trail Blazers,1465920
Furkan Korkmaz,SG,351,Philadelphia 76ers,1465920
Jordan Adams,SG,352,Memphis Grizzlies,1465080
Richard Jefferson,SF,353,Denver Nuggets,1454756
Willy Hernangomez,C,354,Charlotte Hornets,1435750
Jameer Nelson,PG,355,Detroit Pistons,1429818
Kyle Kuzma,PF,356,Los Angeles Lakers,1423560
Tony Bradley,C,357,Utah Jazz,1414920
Derrick White,PG,358,San Antonio Spurs,1404600
Josh Hart,SG,359,Los Angeles Lakers,1394520
Timothe Luwawu-Cabarrot,SG,360,Philadelphia 76ers,1386600
Josh Smith,PF,361,New Orleans Pelicans,1379940
Guillermo Hernangomez,C,362,New York Knicks,1350000
Sasha Kaun,C,363,Philadelphia 76ers,1333240
Brice Johnson,PF,364,Memphis Grizzlies,1331160
Daniel Ochefu,PF,365,Washington Wizards,1312611
Deyonta Davis,C,366,Memphis Grizzlies,1312611
Wayne Selden,SG,367,Memphis Grizzlies,1312611
Andrew Harrison,SG,368,Memphis Grizzlies,1312611
Bryn Forbes,SG,369,San Antonio Spurs,1312611
Treveon Graham,SG,370,Charlotte Hornets,1312611
Stephen Zimmerman,C,371,Los Angeles Lakers,1312611
Skal Labissiere,PF,372,Sacramento Kings,1312611
Nicolas Brussino,SF,373,Atlanta Hawks,1312611
Sheldon Mac,SG,374,Atlanta Hawks,1312611
Isaiah Taylor,PG,375,Atlanta Hawks,1312611
Semi Ojeleye,PF,376,Boston Celtics,1291892
Livio Jean-Charles,SF,377,San Antonio Spurs,1188840
Frank Mason III,PG,378,Sacramento Kings,1184385
Abdel Nader,SF,379,Boston Celtics,1167333
Damyean Dotson,SG,380,New York Knicks,1100000
Tony Wroten,SG,381,Memphis Grizzlies,1050961
Chris Johnson,SG,382,Houston Rockets,1050961
John Jenkins,SG,383,Atlanta Hawks,1050961
Wesley Iwundu,SF,384,Orlando Magic,1050000
Anthony Bennett,PF,385,Phoenix Suns,1015696
Andrew Goudelock,PG,386,Houston Rockets,1015696
Isaiah Canaan,PG,387,Phoenix Suns,997547
Arinze Onuaku,PF,388,Orlando Magic,980431
Devyn Marble,SF,389,LA Clippers,980431
Elton Brand,PF,390,Philadelphia 76ers,980431
Chris Wright,SF,391,Oklahoma City Thunder,980431
Lou Amundson,PF,392,New York Knicks,980431
Greg Stiemsma,C,393,Portland Trail Blazers,980431
Henry Sims,C,394,Utah Jazz,980431
Jordan Farmar,PG,395,Sacramento Kings,980431
Jarnell Stokes,PF,396,Denver Nuggets,980431
Will Bynum,PG,397,Atlanta Hawks,980431
