name,rank,position,team,salary_2017
Lamarcus Joyner,562,CB,LAR,1105934
Craig Robertson,563,LB,NOR,1105000
DeAngelo Hall,568,DB,WAS,1100000
Tress Way,570,P,WAS,1100000
Jacquizz Rodgers,571,RB,TAM,1100000
Tank Carradine,574,DE,SFO,1100000
David DeCastro,564,G,PIT,1100000
Demetrius Harris,565,TE,KAN,1100000
Anthony Sherman,572,RB,KAN,1100000
Margus Hunt,569,DE,IND,1100000
L.P. Ladouceur,573,DE,DAL,1100000
Russell Shepard,566,WR,CAR,1100000
Jonathan Stewart,567,RB,CAR,1100000
Jordan Matthews,575,WR,BUF,1094900
Vernon Hargreaves,576,CB,TAM,1094439
Weston Richburg,577,C,NYG,1085093
Eddie Pleasant,578,SS,HOU,1078000
Kiko Alonso,579,ILB,MIA,1075000
Theo Riddick,580,RB,DET,1075000
Josh Gordon,581,WR,CLE,1068406
Paul Richardson,582,WR,SEA,1062659
DeShawn Shead,584,DB,SEA,1050000
Marshall Newhouse,583,"G,T",OAK,1050000
Sheldon Rankins,585,DT,NOR,1031893
Bradley Roby,586,CB,DEN,1018072
Timmy Jernigan,587,DT,PHI,1017284
Laremy Tunsil,588,OT,MIA,1016257
Stephone Anthony,589,ILB,MIA,1004015
Eric Weems,613,WR,TEN,1000000
Beau Brinkley,619,"LS,TE",TEN,1000000
Nick Folk,655,K,TAM,1000000
Brock Coyle,595,LB,SFO,1000000
Dekoda Watson,597,LB,SFO,1000000
Daniel Kilgore,616,OL,SFO,1000000
Brandon Fusco,656,OL,SFO,1000000
Luke Willson,611,TE,SEA,1000000
Jon Ryan,635,P,SEA,1000000
Stephon Tuitt,634,DT,PIT,1000000
Nick Foles,601,QB,PHI,1000000
Corey Graham,602,DB,PHI,1000000
Alshon Jeffery,627,WR,PHI,1000000
Chris Long,637,DE,PHI,1000000
Lee Smith,630,TE,OAK,1000000
Jon Condo,657,LB,OAK,1000000
Brian Winters,598,OG,NYJ,1000000
Ross Cockrell,608,CB,NYG,1000000
Zak DeOssie,638,LB,NYG,1000000
David Harris,617,LB,NWE,1000000
Tom Brady,639,QB,NWE,1000000
John Kuhn,591,FB,NOR,1000000
Joe Berger,649,T,MIN,1000000
Lawrence Timmons,596,LB,MIA,1000000
Lance Dunbar,621,RB,LAR,1000000
Keenan Allen,593,WR,LAC,1000000
Kellen Clemens,622,QB,LAC,1000000
Derrick Johnson,642,LB,KAN,1000000
Kamar Aiken,631,WR,IND,1000000
Anthony Castonzo,645,OL,IND,1000000
Jack Doyle,648,TE,IND,1000000
Darius Butler,651,DB,IND,1000000
Breno Giacomini,628,G,HOU,1000000
Ahmad Brooks,592,LB,GNB,1000000
Mason Crosby,632,K,GNB,1000000
Don Muhlbach,629,C,DET,1000000
Matthew Stafford,646,QB,DET,1000000
Zach Kerr,594,NT,DEN,1000000
Nolan Carroll,590,DB,DAL,1000000
Byron Bell,612,T,DAL,1000000
